Round of 32,Robert Shi,BC13617,Manuel Liefsoens,BC6194
Round of 32,Paul Green,BC0419,Ben George,BC16241
Round of 32,Manmeet Singh,BC16926,Michael Olynyk,BC15529
Round of 32,Tymmond Thai,BC12178,John Ou,BC16127
Round of 32,Kwun Ho So,BC12748,Colt Love,BC12636
Round of 32,Kelsey Liang,BC13170,Hailegebriel Kebede,BC12752
Round of 32,Jithin Prakash,BC15890,Derrick Church,BC13846
Round of 32,Uday Bharti,BC15951,Thomas Nowak,BC3368
Round of 32,Kevin Phuc,BC14547,Richard Wu,BC13444
Round of 16,Robert Shi,BC13617,Chris Wan,BC3456
Round of 16,Nicholas Lee,SK01305,Paul Green,BC0419
Round of 16,Manmeet Singh,BC16926,Parmeet Sachdeva,BC15345
Round of 16,Tymmond Thai,BC12178,Basil Kottappurath,BC16263
Round of 16,Kwun Ho So,BC12748,Kelsey Liang,BC13170
Round of 16,Mahdi Amahdi,BC15814,Jithin Prakash,BC15890
Round of 16,Uday Bharti,BC15951,Mike Devos,BC3279
Round of 16,Connor Louie,BC10576,Kevin Phuc,BC14547
Quarterfinals,Robert Shi,BC13617,Nicholas Lee,SK01305
Quarterfinals,Manmeet Singh,BC16926,Tymmond Thai,BC12178
Quarterfinals,Mahdi Amahdi,BC15814,Kwun Ho So,BC12748
Quarterfinals,Uday Bharti,BC15951,Connor Louie,BC10576
Semifinals,Manmeet Singh,BC16926,Robert Shi,BC13617
Semifinals,Mahdi Amahdi,BC15814,Uday Bharti,BC15951
Finals,Manmeet Singh,BC16926,Mahdi Amahdi,BC15814
