Round of 16 A,Lyem Fedoretz,BC13763,Nicholas Poon,BC14114
Round of 16 A,Jason Chou,AB04324,Nicholas Lee,SK01305
Round of 16 A,Yiyang Jiang,ON13537,James Jih,BC6584
Round of 16 A,Albert Liang,BC11047,Bruno Koloska,BC17474
Round of 16 A,Jack Chen,BC10265,Allen Lee,BC5859
Round of 16 A,Connor Louie,BC10576,Dong Ly,BC16046
Round of 16 A,Ethan Cheung,BC9676,Anthony Chen,BC17295
Round of 16 A,Nik Cruz,BC3960,Luke Lee,BC8269
Round of 16 B,Yuyang Luo,ON37820,Benson Wong,BC16112
Round of 16 B,Christopher Cui,BC15023,Clement Li,BC16088
Round of 16 B,Jasper Kong,BC16320,Bryan Yang,BC20456
Round of 16 B,Brian Kwok,BC3176,Kevin Ye,BC15490
Round of 16 B,Franklin Chen,BC17865,Aidan Jia Zhang,BC15192
Round of 16 B,Kevin Chau,BC6325,Allen Jiang,BC11371
Round of 16 B,Jackie Wu,BC16206,William Geng,BC16958
A Quarters,Lyem Fedoretz,BC13763,Jason Chou,AB04324
A Quarters,Albert Liang,BC11047,Yiyang Jiang,ON13537
A Quarters,Jack Chen,BC10265,Connor Louie,BC10576
A Quarters,Nik Cruz,BC3960,Ethan Cheung,BC9676
B Quarters,John Ou,BC16127,Yuyang Luo,ON37820
B Quarters,Christopher Cui,BC15023,Jasper Kong,BC16320
B Quarters,Franklin Chen,BC17865,Brian Kwok,BC3176
B Quarters,Jackie Wu,BC16206,Kevin Chau,BC6325
A Semis,Lyem Fedoretz,BC13763,Albert Liang,BC11047
A Semis,Nik Cruz,BC3960,Jack Chen,BC10265
B Semis,John Ou,BC16127,Christopher Cui,BC15023
B Semis,Jackie Wu,BC16206,Franklin Chen,BC17865
A Finals,Lyem Fedoretz,BC13763,Nik Cruz,BC3960
B Finals,Jackie Wu,BC16206,John Ou,BC16127
