Round of 32,Van Long Nguyen,BC16173,Basil Kottappurath,BC16263
Round of 32,Christopher Yu,BC19510,Mike Devos,BC3279
Round of 32,Joseph Tan,BC16197,Hal Shin,BC16042
Round of 32,Curtis Curkan,BC14161,Robert Bota,BC10085
Round of 32,Robert Foster,BC6881,Andrew Meijer,BC6030
Round of 32,Dan Macdonald,BC0474,Jithin Prakash,BC15890
Round of 32,Brent Gordon Dunlop,BC15726,Brandon Myrbo,BC16273
Round of 32,Bejamin George,BC16241,Brendon Kwan,BC9351
Round of 16,Saurabh Pandiar,BC17070,Van Long Nguyen,BC16173
Round of 16,Frank Nguyen,BC17406,Christopher Yu,BC19510
Round of 16,David Yang,BC9870,Joseph Tan,BC16197
Round of 16,Connor O'Reilly,BC16854,Curtis Curkan,BC14161
Round of 16,Robert Foster,BC6881,Will Bui,BC13605
Round of 16,Sahil Aggarwal,BC16091,Dan Macdonald,BC0474
Round of 16,Roger Quach,BC17133,Brent Gordon Dunlop,BC15726
Round of 16,Colt Love,BC12636,Bejamin George,BC16241
Quarterfinals,Saurabh Pandiar,BC17070,Frank Nguyen,BC17406
Quarterfinals,David Yang,BC9870,Connor O'Reilly,BC16854
Quarterfinals,Robert Foster,BC6881,Sahil Aggarwal,BC16091
Quarterfinals,Roger Quach,BC17133,Colt Love,BC12636
Semifinals,Saurabh Pandiar,BC17070,David Yang,BC9870
Semifinals,Robert Foster,BC6881,Roger Quach,BC17133
Finals,Saurabh Pandiar,BC17070,Robert Foster,BC6881
