Round of 64,Fenglin Hu,BC16203,Granth Liu,BC18647
Round of 64,Kevin Huang,BC17809,Michael Mok,BC18360
Round of 64,Milad Mahdmoodzadeh,BC18046,Spencer Wong,BC18639
Round of 64,Victor Chang,BC16223,Bruno Esser,BC9729
Round of 64,Luca Ferretti,ON35979,Yunyong Guo,BC12634
Round of 64,Dwayne Da Silva,BC18335,Gavin Guo,BC15341
Round of 64,Shaun Loo,BC17815,John Ou,BC16127
Round of 64,Alexis Duval,BC6020,Brandon Myrbo,BC16273
Round of 64,Colt Love,BC12636,Fengjie Hu,BC16226
Round of 64,Gaurav Gajewar,BC18464,Jaydon Polischuk,BC18583
Round of 64,Colin Comfort,BC4186,Sam Tian,BC17168
Round of 64,Will Bui,BC13605,Brendon Kwan,BC9351
Round of 64,Renjie Xiong,BC18391,Taha Vora,BC18609
Round of 64,Christopher Yu,BC19510,Jackie Wu,BC16206
Round of 64,Van Long Nguyen,BC16173,Tiger Yang,BC17189
Round of 64,Jordan Sipos,BC6054,Felix Zhen,BC15340
Round of 64,Kevin Zhang,AB21552,Markus Weilmeier,BC10033
Round of 64,David Zhai,BC9636,Yifan Zhou,BC18392
Round of 64,Jason Yang,BC12317,Nathan Allen,BC12460
Round of 64,Alex Wong,BC16192,Min Suk Kim,BC18049
Round of 64,Changhao Shao,BC18610,Aron Kim,BC17818
Round of 64,Charlton Li,ON31174,Silas Poon,BC8935
Round of 64,Joseph Tan,BC16197,Juchen Li,juchenli1
Round of 32,Kwun Ho So,BC12748,Ian Chen,BC18634
Round of 32,Kevin Huang,BC17809,Fenglin Hu,BC16203
Round of 32,Jack Saunders,AB10192,Milad Mahdmoodzadeh,BC18046
Round of 32,Luca Ferretti,ON35979,Victor Chang,BC16223
Round of 32,Sahil Aggarwal,BC16091,Dwayne Da Silva,BC18335
Round of 32,Alexis Duval,BC6020,Shaun Loo,BC17815
Round of 32,Colt Love,BC12636,Andrew Meijer,BC6030
Round of 32,Gaurav Gajewar,BC18464,Colin Comfort,BC4186
Round of 32,Will Bui,BC13605,Renjie Xiong,BC18391
Round of 32,Van Long Nguyen,BC16173,Chris Yu,BC19510
Round of 32,Jordan Sipos,BC6054,Kevin Zhang,AB21552
Round of 32,Jaden Thom,BC15336,David Zhai,BC9636
Round of 32,Jason Yang,BC12317,Alex Wong,BC16192
Round of 32,Hailegebriel Kebede,BC12752,Eric Zhou,BC18397
Round of 32,Charlton Li,ON31174,Changhao Shao,BC18610
Round of 32,Connor Nicholas Louie,BC10576,Joseph Tan,BC16197
Round of 16,Kwun Ho So,BC12748,Kevin Huang,BC17809
Round of 16,Luca Ferretti,ON35979,Jack Saunders,AB10192
Round of 16,Alexis Duval,BC6020,Sahil Aggarwal,BC16091
Round of 16,Colt Love,BC12636,Gaurav Gajewar,BC18464
Round of 16,Van Long Nguyen,BC16173,Will Bui,BC13605
Round of 16,Jaden Thom,BC15336,Jordan Sipos,BC6054
Round of 16,Hailegebriel Kebede,BC12752,Jason Yang,BC12317
Round of 16,Connor Nicholas Louie,BC10576,Charlton Li,ON31174
Quarterfinals,Kwun Ho So,BC12748,Luca Ferretti,ON35979
Quarterfinals,Alexis Duval,BC6020,Colt Love,BC12636
Quarterfinals,Jaden Thom,BC15336,Van Long Nguyen,BC16173
Quarterfinals,Connor Nicholas Louie,BC10576,Hailegebriel Kebede,BC12752
Semifinals,Alexis Duval,BC6020,Kwun Ho So,BC12748
Semifinals,Connor Nicholas Louie,BC10576,Jaden Thom,BC15336
Finals,Connor Nicholas Louie,BC10576,Alexis Duval,BC6020
