Round of 32,Patrick Chow,BC13996,Leo Leekrajang,BC16242
Round of 32,Andre Wen,BC14279,Min Suk Kim,BC18049
Round of 32,Yunyong Guo,BC12634,Huan Ge Zhang,BC17573
Round of 32,Aaron Lin,BC12213,Jaydon Polischuk,BC18583
Round of 32,Hailegebriel Kebede,BC12752,Brian Waters,IDBWATERS
Round of 32,Jaden Thom,BC15336,Jeffrey Joju,BC18065
Round of 32,Kwun Ho So,BC12748,Nathan Allen,BC12460
Round of 32,Christopher Yu,BC19510,Mike De Vos,BC3279
Round of 32,Colt Love,BC12636,Peter Huang,BC18042
Round of 32,Alex Wong,BC16192,Robert Oldfield,BC0237
Round of 32,Sam Chen,IDSCHEN,Brendon Kwan,BC9351
Round of 32,Joseph Tan,BC16197,Xun Wang,BC17618
Round of 32,Andrew Meijer,BC6030,Victor Chang,BC16223
Round of 32,Roger Quach,BC17133,Colin Comfort,BC4186
Round of 16,Van Long Nguyen,BC16173,Patrick Chow,BC13996
Round of 16,Andre Wen,BC14279,Shaun Loo,BC17815
Round of 16,Aaron Lin,BC12213,Yunyong Guo,BC12634
Round of 16,Jaden Thom,BC15336,Hailegebriel Kebede,BC12752
Round of 16,Kwun Ho So,BC12748,Christopher Yu,BC19510
Round of 16,Colt Love,BC12636,Alex Wong,BC16192
Round of 16,Sam Chen,IDSCHEN,Joseph Tan,BC16197
Round of 16,Roger Quach,BC17133,Andrew Meijer,BC6030
Quarterfinals,Van Long Nguyen,BC16173,Andre Wen,BC14279
Quarterfinals,Jaden Thom,BC15336,Aaron Lin,BC12213
Quarterfinals,Kwun Ho So,BC12748,Colt Love,BC12636
Quarterfinals,Roger Quach,BC17133,Sam Chen,IDSCHEN
Semifinals,Jaden Thom,BC15336,Van Long Nguyen,BC16173
Semifinals,Kwun Ho So,BC12748,Roger Quach,BC17133
Finals,Jaden Thom,BC15336,Kwun Ho So,BC12748
