Group A Round 1,Josemaria (JM) Teleg,BC16122,Gilbert Limarta,BC19167
Group A Round 2,Robert Zhongjia Shi,BC13617,Josemaria (JM) Teleg,BC16122
Group A Round 3,Robert Zhongjia Shi,BC13617,Gilbert Limarta,BC19167
Group B Round 1,ANISH Chandra Jojula,BC18940,THOMAS GEORGE,BC19905
Group B Round 1,simar singh,BC18188,Soham Ghugal,BC19017
Group B Round 2,ANISH Chandra Jojula,BC18940,simar singh,BC18188
Group B Round 2,THOMAS GEORGE,BC19905,Soham Ghugal,BC19017
Group B Round 3,simar singh,BC18188,THOMAS GEORGE,BC19905
Group B Round 3,ANISH Chandra Jojula,BC18940,Soham Ghugal,BC19017
Group C Round 1,Aakar Chatha,BC17063,Rohail Mir,BC19034
Group C Round 2,Uday pratap Bharti,BC15951,Rohail Mir,BC19034
Group C Round 3,Uday pratap Bharti,BC15951,Aakar Chatha,BC17063
Quarterfinals,Robert Zhongjia Shi,BC13617,THOMAS GEORGE,BC19905
Quarterfinals,Aakar Chatha,BC17063,simar singh,BC18188
Quarterfinals,Uday pratap Bharti,BC15951,Josemaria (JM) Teleg,BC16122
Quarterfinals,ANISH Chandra Jojula,BC18940,Rohail Mir,BC19034
Semifinals,Aakar Chatha,BC17063,Robert Zhongjia Shi,BC13617
Semifinals,ANISH Chandra Jojula,BC18940,Uday pratap Bharti,BC15951
Finals,ANISH Chandra Jojula,BC18940,Aakar Chatha,BC17063
