Round of 32,Kai Yik Adams Wong,BC19729,Coen Fong,BC18559
Round of 32,Frank Yuan,BC19632,Yue Kang,BC19779
Round of 32,Thaman Chopparapu,BC19520,David Liu,BC19808
Round of 32,George Lu,BC16428,Jaiden Huang,BC19640
Round of 32,Yingjie Zhao,BC18379,Huankai Gao,BC18441
Round of 32,Marcuz Alexander Rivero,BC19641,Myles Yu Tung Hui,BC19547
Round of 32,Clayton Jui-Che Lin,BC19620,Nate Chan,BC19739
Round of 16,Moses Haoren Li,BC20147,Kai Yik Adams Wong,BC19729
Round of 16,Frank Yuan,BC19632,Lucas Chi Wai Chan,BC18649
Round of 16,Thaman Chopparapu,BC19520,Cameron Chen,BC19156
Round of 16,Hugo Changhe Liu,BC17648,George Lu,BC16428
Round of 16,Yingjie Zhao,BC18379,Arnaud Guo,BC19355
Round of 16,Connor Senft,BC19572,Marcuz Alexander Rivero,BC19641
Round of 16,Clayton Jui-Che Lin,BC19620,Shawn Enmo Xiao,BC18554
Round of 16,Jiha Bae,BC18549,Aden Hoi-Yiu Au,BC16432
Quarterfinal,Moses Haoren Li,BC20147,Frank Yuan,BC19632
Quarterfinal,Thaman Chopparapu,BC19520,Hugo Changhe Liu,BC17648
Quarterfinal,Yingjie Zhao,BC18379,Connor Senft,BC19572
Quarterfinal,Jiha Bae,BC18549,Clayton Jui-Che Lin,BC19620
Semifinal,Moses Haoren Li,BC20147,Thaman Chopparapu,BC19520
Semifinal,Jiha Bae,BC18549,Yingjie Zhao,BC18379
Final,Moses Haoren Li,BC20147,Jiha Bae,BC18549
Round of 16,Yingjie Zhao,BC18379,Aiden Wong,BC19738
Round of 16,Hugo Changhe Liu,BC17648,Jake L Lan,BC19598
Round of 16,Young Liu,BC18880,Jayden Sun,BC17206
Round of 16,Aiden zijun Huang,BC19648,Kai Yik Adams Wong,BC19729
Round of 16,Zixuan Patrick Li,BC17927,Cameron Chen,BC19156
Quarterfinal,Ding-Yu Lee,BC17235,Yingjie Zhao,BC18379
Quarterfinal,Clayton Jui-Che Lin,BC19620,Hugo Changhe Liu,BC17648
Quarterfinal,Aiden zijun Huang,BC19648,Young Liu,BC18880
Quarterfinal,Jiha Bae,BC18549,Zixuan Patrick Li,BC17927
Semifinal,Ding-Yu Lee,BC17235,Clayton Jui-Che Lin,BC19620
Semifinal,Jiha Bae,BC18549,Aiden zijun Huang,BC19648
Final,Jiha Bae,BC18549,Ding-Yu Lee,BC17235
Round of 32,Matthius Yung,BC17209,Young Liu,BC18880
Round of 32,Ian Mei,BC17931,Sheng Yo Huang,BC19076
Round of 32,Jiha Bae,BC18549,Simon CUI Sun,BC19567
Round of 16,Terry Tianyu Xie,BC17139,Yingjie Zhao,BC18379
Round of 16,Vinay Vivek,BC16924,Tony Tian,BC17170
Round of 16,Cliff Jui-Chien Lin,BC18341,Moses Haoren Li,BC20147
Round of 16,Hetansh Durgani,BC18375,Ian Mei,BC17931
Round of 16,Oscar Fu,AB22357,Jayden Chu,BC17910
Round of 16,Jiha Bae,BC18549,Ding-Yu Lee,BC17235
Round of 16,Muhao Victor Zeng,BC16886,Cameron Chen,BC19156
Quarterfinal,Terry Tianyu Xie,BC17139,Matthius Yung,BC17209
Quarterfinal,Vinay Vivek,BC16924,Cliff Jui-Chien Lin,BC18341
Quarterfinal,Oscar Fu,AB22357,Hetansh Durgani,BC18375
Quarterfinal,Muhao Victor Zeng,BC16886,Jiha Bae,BC18549
Semifinal,Terry Tianyu Xie,BC17139,Vinay Vivek,BC16924
Semifinal,Muhao Victor Zeng,BC16886,Oscar Fu,AB22357
Final,Terry Tianyu Xie,BC17139,Muhao Victor Zeng,BC16886
Round of 32,Ethan Kunyi Chen,BC19574,Shawn Enmo Xiao,BC18554
Round of 32,Aiden Yik Long Wong,BC19534,Tristen Fok,BC18894
Round of 32,Marcuz Alexander Rivero,BC19641,Yue Kang,BC19779
Round of 32,Isaiah Chen-Kai Yuan,BC20011,Chi-Chen Lee,BC19668
Round of 32,Aiden Wong,BC19738,Myles Yu Tung Hui,BC19547
Round of 32,Zihan Su,BC20054,Kyle Lawrence Lin,BC18879
Round of 32,Kai Yik Adams Wong,BC19729,Huankai Gao,BC18441
Round of 32,George Lu,BC16428,Ian Xu,BC18979
Round of 32,Coen Fong,BC18559,Ian Jonathan Lu,BC18895
Round of 32,Zixuan Patrick Li,BC17927,Aden Hoi-Yiu Au,BC16432
Round of 32,Hugo Changhe Liu,BC17648,Frank Yuan,BC19632
Round of 32,Aiden zijun Huang,BC19648,Jaiden Huang,BC19640
Round of 16,Young Liu,BC18880,Ethan Kunyi Chen,BC19574
Round of 16,Aiden Yik Long Wong,BC19534,Marcuz Alexander Rivero,BC19641
