Round of 128,Jason Chou,AB04324,James Jih,BC6584
Round of 128,Paul Cho,BC3748,Jaden Thom,BC15336
Round of 128,Nicholas Poon,BC14114,Matthew Cheuk Hin Ng,BV1989
Round of 128,Justin L Li,ON14222,Alex Anlai Song,X1019779
Round of 64,Jackson Yang,BC10895,Ethan Yen,BC14739
Round of 64,William Ma,BC15972,Frank Nguyen,BC17406
Round of 64,Jack Chen,BC10265,Darren Wang,BC13934
Round of 64,Justin Wan,BC14684,Issac Fung,X09182004
Round of 64,Ryan Liu,BC10841,Aayush Singh,NY001
Round of 64,Van Long Nguyen,BC16173,Ryan Choudhury,X1021492
Round of 64,Daniel Huang,BC14954,Rex Orth,BC15155
Round of 64,Jason Chou,AB04324,Shiyao Jin,BC10896
Round of 64,David Zuo,X1019625,Franklin Chen,BC17865
Round of 64,Ruixi Zhang,BC14918,Luke Lee,BC8269
Round of 64,Mitchell Purnomo,BC17160,Adrian Wong,BC12183
Round of 64,Manmeet Singh,BC16926,Arrio Choi,BC3212
Round of 64,Ev Haus,BC19123,Wayne Wu,ON30225
Round of 64,Paul Cho,BC3748,William Zhang,MB12923
Round of 64,Joshua Yan,BC9134,Nicholas Poon,BC14114
Round of 64,Steven Chen,X1020412,Cliff Yang,BC15372
Round of 64,David Luo,BC18064,Adhiraj Sharma,NY002
Round of 64,Chris Wiebe,MB1371,Yancong Li,BC19032
Round of 64,Eddie Chan,BC7343,Elvin Sun,BC13370
Round of 64,Louis N Thai,BC14680,Ethan Cheung,BC9676
Round of 64,Dwayne Da Silva,BC18335,Michael Suey,AB03316
Round of 64,Lyem Fedoretz,BC13763,Jason Yang,BC12317
Round of 64,Justin L Li,ON14222,Oscar Xie,BC9514
Round of 64,Leo Zhou,BC19552,Victor Su,BC14527
Round of 64,David Purnomo,BC17159,Terence Liu,BC3737
Round of 64,Aakar Chatha,BC17063,Simon Wu,BC17274
Round of 64,Gurbaksh Saini,ON41508,Trevor So,BC14155
Round of 32,Jackson Yang,BC10895,William Ma,BC15972
Round of 32,Jack Chen,BC10265,Justin Wan,BC14684
Round of 32,Ryan Liu,BC10841,Van Long Nguyen,BC16173
Round of 32,Jason Chou,AB04324,Daniel Huang,BC14954
Round of 32,Kevin Luo,BC8266,Ali Sayyah,AS001
Round of 32,David Zuo,X1019625,Ruixi Zhang,BC14918
Round of 32,Mitchell Purnomo,BC17160,Manmeet Singh,BC16926
Round of 32,Paul Cho,BC3748,Ev Haus,BC19123
Round of 32,Joshua Yan,BC9134,Steven Chen,X1020412
Round of 32,Chris Wiebe,MB1371,David Luo,BC18064
Round of 32,Louis N Thai,BC14680,Eddie Chan,BC7343
Round of 32,Lyem Fedoretz,BC13763,Dwayne Da Silva,BC18335
Round of 32,Justin L Li,ON14222,David Yuan,BC1117
Round of 32,David Purnomo,BC17159,Leo Zhou,BC19552
Round of 32,Roger Quach,BC17133,Haocheng Guo,BC19056
Round of 32,Gurbaksh Saini,ON41508,Aakar Chatha,BC17063
Round of 16,Jackson Yang,BC10895,Jack Chen,BC10265
Round of 16,Jason Chou,AB04324,Ryan Liu,BC10841
Round of 16,Kevin Luo,BC8266,David Zuo,X1019625
Round of 16,Mitchell Purnomo,BC17160,Paul Cho,BC3748
Round of 16,Chris Wiebe,MB1371,Joshua Yan,BC9134
Round of 16,Lyem Fedoretz,BC13763,Louis N Thai,BC14680
Round of 16,David Purnomo,BC17159,Justin L Li,ON14222
Round of 16,Gurbaksh Saini,ON41508,Roger Quach,BC17133
Quarterfinals,Jason Chou,AB04324,Jackson Yang,BC10895
Quarterfinals,Kevin Luo,BC8266,Mitchell Purnomo,BC17160
Quarterfinals,Lyem Fedoretz,BC13763,Chris Wiebe,MB1371
Quarterfinals,Gurbaksh Saini,ON41508,David Purnomo,BC17159
Semifinals,Kevin Luo,BC8266,Jason Chou,AB04324
Semifinals,Lyem Fedoretz,BC13763,Gurbaksh Saini,ON41508
Finals,Lyem Fedoretz,BC13763,Kevin Luo,BC8266
