Round of 32,Stephen Atherton,BC0834,Taha Vora,BC18609
Round of 32,Nathan Wong,BC14267,Seth Raymond Miller,X00352
Round of 32,Markus Weilmeier,BC10033,Digby Johannson-Miller,BC15083
Round of 32,Sourabh Kulkarni,BC18568,Owen B Robertson,BC10532
Round of 32,Mike Lennon,BC9037,Finnegan Vanderkam,BC18247
Round of 32,Troy Morgan,BC16699,Shen Wei Lan,BC8302
Round of 32,Erik Albert Mat Wiebe,MB10231,Clayton Miller,BC4316
Round of 32,David Crawford,BC4189,Job Babu,BC20274
Round of 32,Ashley D Robertson,BC8017,Jihad Douaifi,BC18276
Round of 32,Ahmad Rahmzadeh,BC13502,John McWalter Keith,BC17576
Round of 16,Neil Ward,BC0435,Stephen Atherton,BC0834
Round of 16,Jack Saunders,AB10192,Nathan Wong,BC14267
Round of 16,Ayush Ayush,NY001,Markus Weilmeier,BC10033
Round of 16,Sourabh Kulkarni,BC18568,Hector Devesa,BC13264
Round of 16,Troy Morgan,BC16699,Mike Lennon,BC9037
Round of 16,David Crawford,BC4189,Erik Albert Mat Wiebe,MB10231
Round of 16,Takashi Hirose,BC8301,Ashley D Robertson,BC8017
Round of 16,Harrison Hsu,BC4245,Ahmad Rahmzadeh,BC13502
Quarterfinals,Neil Ward,BC0435,Jack Saunders,AB10192
Quarterfinals,Ayush Ayush,NY001,Sourabh Kulkarni,BC18568
Quarterfinals,David Crawford,BC4189,Troy Morgan,BC16699
Quarterfinals,Harrison Hsu,BC4245,Takashi Hirose,BC8301
Semifinals,Neil Ward,BC0435,Ayush Ayush,NY001
Semifinals,Harrison Hsu,BC4245,David Crawford,BC4189
Finals,Harrison Hsu,BC4245,Neil Ward,BC0435
