State Session 1,Andrew Shan,AB21085,Daniel Huang,BC14954
State Session 1,Nathan Quach,AB22070,Van Long Nguyen,BC16173
State Session 1,Matthew Yeung,AB21648,Dwayne Da Silva,BC18335
State Session 1,Jason Chiu,AB22318,Arrio Chi To Choi,BC3212
State Session 1,Dale Kinley,MB0044,Andy Le,BC17175
State Session 1,Eason Wong,AB09702,Sourabh Kulkarni,BC18568
State Session 1,Yuanjia Cai,AB20866,Shingchun Kevin Wu,BC14906
State Session 1,Derek Yu,QC11551,Sahil Aggarwal,BC16091
State Session 1,Hooman Bagheri,QC04040,Wenqiang Xu,BC15837
State Session 1,Peike Xu,BC15886,Raunak Sandhu,AB20272
State Session 1,Nathan Appave,AB20369,Paritosh Singh,ON33933
State Session 1,Ethan Yen,BC14739,Philip Mak,AB03723
State Session 1,Aakar Chatha,BC1706,Jack Saunders,AB10192
State Session 1,Lyem Fedoretz,BC13763,Victor Ho,MB09472
State Session 1,Wonik Jin,AB21235,Gaurav Gajewar,BC18464
State Session 1,Jackson Lachance,AB10071,Roger Quach,BC17133
State Session 1,Saket Thavanani,ON34056,Jalil Waiz,BC7562
State Session 1,Ruixi Zhang,BC14918,Kevin Shan,AB21077
Session 2,Joshua Nguyen,ON13127,Andrew Shan,AB21085
Session 2,Ryan Liu,BC10841,Nathan Quach,AB22070
Session 2,Thomas Ashton,NS2003472,Matthew Yeung,AB21648
Session 2,Dale Kinley,MB0044,Jason Chiu,AB22318
Session 2,Anthony Wong,AB09514,Alexander Gibson-Dunne,AB21292
Session 2,Saurabh Pandiar,BC17070,Eason Wong,AB09702
Session 2,Connor Louie,BC10576,Yuanjia Cai,AB20866
Session 2,Anton Menzel,AB09146,Derek Yu,QC11551
Session 2,Peike Xu,BC15886,Hooman Bagheri,QC04040
Session 2,Jackson Yang,BC10895,Nathan Appave,AB20369
Session 2,Ethan Yen,BC14739,Aakar Chatha,BC1706
Session 2,Lyem Fedoretz,BC13763,Wonik Jin,AB21235
Session 2,Charles-Alexandre Gagnon,QC11353,Jackson Lachance,AB10071
Session 2,Saket Thavanani,ON34056,Ethan Chen,AB06938
Session 2,Gurbaksh Saini,ON41508,Ruixi Zhang,BC14918
Session 3,Joshua Nguyen,ON13127,Ryan Liu,BC10841
Session 3,Dale Kinley,MB0044,Thomas Ashton,NS2003472
Session 3,Saurabh Pandiar,BC17070,Anthony Wong,AB09514
Session 3,Anton Menzel,AB09146,Connor Louie,BC10576
Session 3,Peike Xu,BC15886,Jackson Yang,BC10895
Session 3,Kiren Milan Deraj,MB1631,Ethan Yen,BC14739
Session 3,Lyem Fedoretz,BC13763,Charles-Alexandre Gagnon,QC11353
Session 3,Gurbaksh Saini,ON41508,Saket Thavanani,ON34056
Quarter Finals,Joshua Nguyen,ON13127,Dale Kinley,MB0044
Quarter Finals,Saurabh Pandiar,BC17070,Anton Menzel,AB09146
Quarter Finals,Peike Xu,BC15886,Kiren Milan Deraj,MB1631
Quarter Finals,Gurbaksh Saini,ON41508,Lyem Fedoretz,BC13763
Semi Finals,Joshua Nguyen,ON13127,Saurabh Pandiar,BC17070
Semi Finals,Gurbaksh Saini,ON41508,Peike Xu,BC15886
Finals,Joshua Nguyen,ON13127,Gurbaksh Saini,ON41508
Bronze Playoff,Saurabh Pandiar,BC17070,Peike Xu,BC15886
