Yellow Shell Ro32,Trevor Chun,BC15986,Kevin Lin Hua Liu,BC14810
Yellow Shell Ro32,James Teng,BC17639,Gordon Lai,BC17878
Yellow Shell Ro32,Nicholas Yun,BC17634,Kirby Fung,BC6846
Yellow Shell Ro32,Ayden Travis Lee,BC16117,Benson Yan,BC14654
Yellow Shell Ro32,Joe Liang,BC17158,Darvey Chang,BC20156
Yellow Shell Ro32,Jasper Kong,BC16320,Ethan Q Sheng,BC17844
Yellow Shell Ro32,Yu Cong Tang,BC6596,Samuel Ye,BC14974
Yellow Shell Ro32,Leo Lin,MB12844,Bryan Teng,BC17297
Yellow Shell Ro16,Trevor Chun,BC15986,John Ou,BC16127
Yellow Shell Ro16,Haley He,BC15543,James Teng,BC17639
Yellow Shell Ro16,Christopher Cui,BC15023,Nicholas Yun,BC17634
Yellow Shell Ro16,Ayden Travis Lee,BC16117,Peter Phuc,BC14909
Yellow Shell Ro16,Joe Liang,BC17158,Michael Kuang,X831234
Yellow Shell Ro16,Jasper Kong,BC16320,Kevin Damien Chau,BC6325
Yellow Shell Ro16,Yu Cong Tang,BC6596,Yang Xiang,X18735723
Yellow Shell Ro16,Franklin Chen,BC17865,Leo Lin,MB12844
Yellow Shell QF,Haley He,BC15543,Trevor Chun,BC15986
Yellow Shell QF,Ayden Travis Lee,BC16117,Christopher Cui,BC15023
Yellow Shell QF,Jasper Kong,BC16320,Joe Liang,BC17158
Yellow Shell QF,Franklin Chen,BC17865,Yu Cong Tang,BC6596
Yellow Shell SF,Ayden Travis Lee,BC16117,Haley He,BC15543
Yellow Shell SF,Jasper Kong,BC16320,Franklin Chen,BC17865
Yellow Shell Final,Ayden Travis Lee,BC16117,Jasper Kong,BC16320
Blue Shell Ro32,Adrian Wong,BC12183,Michael Wang,BC6782
Blue Shell Ro32,Yancong Li,BC19032,Kelvin Huang,BC18866
Blue Shell Ro32,Marco Fortin,BC15734,Muchen Li,BC15198
Blue Shell Ro32,Haocheng Guo,BC19056,Harrison Belenkie,BC18339
Blue Shell Ro32,Brendan KC Wong,BC14055,Balakumar KS,KS001
Blue Shell Ro32,Sahil Aggarwal,BC16091,Ev Haus,BC19123
Blue Shell Ro32,Daniel Zhang,BC15006,Roy You Wei Zhou,BC14925
Blue Shell Ro16,Saurabh Pandiar,BC17070,Adrian Wong,BC12183
Blue Shell Ro16,Yancong Li,BC19032,Luke Lee,BC8269
Blue Shell Ro16,Jalil Waiz,BC7562,Marco Fortin,BC15734
Blue Shell Ro16,Shingchun Kevin Wu,BC14906,Haocheng Guo,BC19056
Blue Shell Ro16,Brendan KC Wong,BC14055,Simon Wu,BC17274
Blue Shell Ro16,Connor Chin,AB03249,Sahil Aggarwal,BC16091
Blue Shell Ro16,Aakar Chatha,BC17063,Mike Tsao,X4078001
Blue Shell Ro16,Connor Louie,BC10576,Daniel Zhang,BC15006
Blue Shell QF,Saurabh Pandiar,BC17070,Yancong Li,BC19032
Blue Shell QF,Shingchun Kevin Wu,BC14906,Jalil Waiz,BC7562
Blue Shell QF,Connor Chin,AB03249,Brendan KC Wong,BC14055
Blue Shell QF,Connor Louie,BC10576,Aakar Chatha,BC17063
Blue Shell SF,Saurabh Pandiar,BC17070,Shingchun Kevin Wu,BC14906
Blue Shell SF,Connor Chin,AB03249,Connor Louie,BC10576
Blue Shell Final,Saurabh Pandiar,BC17070,Connor Chin,AB03249
