Round of 32,William Ma,BC15972,Roy You Wei Zhou,BC14925
Round of 32,Shrey Sanghavi,XPC93,Ev Haus,BC19123
Round of 32,John Ou,BC16127,Karan Singh Shami,BC18501
Round of 32,Gurbaksh Saini,ON41508,Daniel Zhang,X19626274
Round of 32,Anish Jojula,BC18940,Arnav Bhattacharya,BC14921
Round of 32,Daniel Huang,BC14954,Daniel Lazzaroni,BC14964
Round of 32,Jack Chen,BC10265,Roy Chiu,EX001
Round of 32,Paul Cho,BC3748,Aakar Chatha,BC17063
Round of 32,Hossein Ahmadi,BC17717,Daniel Zhang,BC15006
Round of 16,Saurabh Pandair,BC17070,Sam Chu,BC6993
Round of 16,William Ma,BC15972,Shrey Sanghavi,XPC93
Round of 16,Jalil Waiz,BC7562,Laurence Kao,BC3829
Round of 16,Pierre Tang,BC1728,John Ou,BC16127
Round of 16,Gurbaksh Saini,ON41508,Anish Jojula,BC18940
Round of 16,Jack Chen,BC10265,Daniel Huang,BC14954
Round of 16,Paul Cho,BC3748,Dwayne Da Silva,BC18335
Round of 16,Hossein Ahmadi,BC17717,Connor Louie,BC10576
Quarterfinals,Saurabh Pandair,BC17070,William Ma,BC15972
Quarterfinals,Jalil Waiz,BC7562,Pierre Tang,BC1728
Quarterfinals,Gurbaksh Saini,ON41508,Jack Chen,BC10265
Quarterfinals,Hossein Ahmadi,BC17717,Paul Cho,BC3748
Semifinals,Saurabh Pandair,BC17070,Jalil Waiz,BC7562
Semifinals,Gurbaksh Saini,ON41508,Hossein Ahmadi,BC17717
Finals,Gurbaksh Saini,ON41508,Saurabh Pandair,BC17070
