Round of 64,Aakar Chatha,BC17063,Andrew Meijer,BC6030
Round of 64,Zheng Fang,QC10585,Oscar Xie,BC9514
Round of 64,Hossein Ahmadi,BC17717,Shen Wei Lai,BC8302
Round of 64,Nicholas Volfbeyn,X1022178,Hanliang Liu,X12306
Round of 64,Matthew Huang,BC14932,Dwayne Da Silva,BC18335
Round of 64,Cyrus Lau,BC15982,Matthieu Mercer,ID22T03
Round of 64,Kwun Ho So,BC12748,Luca Ferretti,ON35979
Round of 64,Julian Lai,QC04262,Mike Cao,BC8925
Round of 64,Harrison Guo,X00217,Alex Starostin,XT001
Round of 64,Connor Louie,BC10576,Jalil Waiz,BC7562
Round of 64,Xuejia Lu,K3020833,Roy Hung,BC11052
Round of 64,Ethan Yen,BC14739,Matthew Cheuk Hin Ng,BV1989
Round of 64,Nathan Lee,BC16181,Roger Quach,BC17133
Round of 64,Christopher Lee,BC18153,Min Suk Kim,BC18049
Round of 64,Ethan Cheung,BC9676,Vincent Zonca,BC13450
Round of 64,Evan Chen,BC18670,Colt Love,BC12636
Round of 32,Gurbaksh Saini,ON41508,Aakar Chatha,BC17063
Round of 32,Zheng Fang,QC10585,Ryan Liew,AB09486
Round of 32,Ryan Liu,BC10841,Hossein Ahmadi,BC17717
Round of 32,Nicholas Volfbeyn,X1022178,Augustine Ang,BC6946
Round of 32,Yu-Yuan Chang,U20020423,Matthew Huang,BC14932
Round of 32,Cyrus Lau,BC15982,Justin Phuong,BC11051
Round of 32,Kevin Luo,BC8266,Kwun Ho So,BC12748
Round of 32,Ruixi Zhang,BC14918,Julian Lai,QC04262
Round of 32,Harrison Guo,X00217,Ev Haus,BC19123
Round of 32,Nicholas Chiu,USA00021,Connor Louie,BC10576
Round of 32,Xuejia Lu,K3020833,Sola Zhang,BC12297
Round of 32,Saurabh Pandiar,BC17070,Ethan Yen,BC14739
Round of 32,Nathan Lee,BC16181,Eddie Chan,BC7343
Round of 32,David Yuan,BC1117,Christopher Lee,BC18153
Round of 32,Alex Anlai Song,X1019779,Ethan Cheung,BC9676
Round of 32,Lyem Fedoretz,BC13763,Evan Chen,BC18670
Round of 16,Gurbaksh Saini,ON41508,Zheng Fang,QC10585
Round of 16,Ryan Liu,BC10841,Nicholas Volfbeyn,X1022178
Round of 16,Yu-Yuan Chang,U20020423,Cyrus Lau,BC15982
Round of 16,Kevin Luo,BC8266,Ruixi Zhang,BC14918
Round of 16,Nicholas Chiu,USA00021,Harrison Guo,X00217
Round of 16,Saurabh Pandiar,BC17070,Xuejia Lu,K3020833
Round of 16,Nathan Lee,BC16181,David Yuan,BC1117
Round of 16,Lyem Fedoretz,BC13763,Alex Anlai Song,X1019779
Quarterfinals,Gurbaksh Saini,ON41508,Ryan Liu,BC10841
Quarterfinals,Yu-Yuan Chang,U20020423,Kevin Luo,BC8266
Quarterfinals,Saurabh Pandiar,BC17070,Nicholas Chiu,USA00021
Quarterfinals,Lyem Fedoretz,BC13763,Nathan Lee,BC16181
Semifinals,Gurbaksh Saini,ON41508,Yu-Yuan Chang,U20020423
Semifinals,Saurabh Pandiar,BC17070,Lyem Fedoretz,BC13763
Finals,Saurabh Pandiar,BC17070,Gurbaksh Saini,ON41508
