Round of 32,Mitash Jain,BC17537,Parmeet Sachdeva,BC15345
Round of 32,Will Bui,BC13605,Victor Chang,BC16223
Round of 32,Frank Nguyen,BC17406,Kevin Guo,BC16009
Round of 32,Joseph Tan,BC16197,Brandon Myrbo,BC16273
Round of 16,Saurabh Pandiar,BC17070,Brendon Kwan,BC9351
Round of 16,Mitash Jain,BC17537,Van Long Nguyen,BC16173
Round of 16,Robert Foster,BC6881,John Ou,BC16127
Round of 16,Kwun Ho So,BC12748,Will Bui,BC13605
Round of 16,Frank Nguyen,BC17406,Colt Love,BC12636
Round of 16,Connor Louie,BC10576,Chris Yu,BC19510
Round of 16,David Yang,BC9870,Joseph Tan,BC16197
Round of 16,Roger Quach,BC17133,Andrew Meijer,BC6030
Quarterfinals,Saurabh Pandiar,BC17070,Mitash Jain,BC17537
Quarterfinals,Robert Foster,BC6881,Kwun Ho So,BC12748
Quarterfinals,Connor Louie,BC10576,Frank Nguyen,BC17406
Quarterfinals,David Yang,BC9870,Roger Quach,BC17133
Semifinals,Saurabh Pandiar,BC17070,Robert Foster,BC6881
Semifinals,Connor Louie,BC10576,David Yang,BC9870
Finals,Saurabh Pandiar,BC17070,Connor Louie,BC10576
