Round 1,Luke Lee,BC8269,Maxwell Chen,X20444327
Round 1,Robert Shi,BC13617,Jasper Zhong,BC15010
Round 2,Antonio Li,BC7414,Sahil Aggarwal,BC16091
Round 2,Jacky Ruan,BC6934,Ziyang Tom Wang,BC16883
Round 2,Jasper Kong,BC16320,James Geng,BC13109
Round 2,Christopher Lee,BC18153,Anthony Ang,U2266067288
Round 2,Kevin Luo,BC8266,Ayush Ayush,NY001
Round 2,Aakar Chatha,BC17063,Vincent Zonca,BC13450
Round 2,Yu-Yuan Chang,U20020423,Nathan Lee,BC16181
Round 2,Shingchun Kevin Wu,BC14906,Lukas Yao,BC17022
Round 2,Peter Wong,BC19183,Trevor Chun,BC15986
Round 2,Mathias Lai,UE001,Truong Pham,BC8986
Round 2,Ethan Yen,BC14739,Ethan Q Sheng,BC17844
Round 2,Gurbaksh Saini,ON41508,Robby Lim,X20443772
Round 2,Hossein Ahmadi,BC17717,Samuel Ha,BC17845
Round 2,Oliver Long,BC13904,Ev Haus,BC19123
Round 2,Jason Too,BC19055,Luke Lee,BC8269
Round 2,William Ma,BC15972,Robert Shi,BC13617
Round 2,Chung Lai Yin,BC17060,Connor Louie,BC10576
Round 2,Lyem Fedoretz,BC13763,Uday Bharti,BC15951
Round 2,Nicholas Poon,BC14114,Kelsey Liang,BC13170
Round 2,Jalil Waiz,BC7562,Andrew Tan,BC17585
Round 2,William Hu,BC12205,Anthony Yuk Ho Chen,BC17295
Round 2,Joshua Liu,BC1815,Eden Dewei Liang,BC14809
Round 2,Peike Xu,BC15886,Sunil Wadhwa,BC18927
Round 2,Wenjun Ouyang,BC8870,Victor Ho,MB09472
Round 2,Eric Yu Cao,BC10049,Hou De Zhu,BC17021
Round 2,Ryan Liu,BC10841,Andy Le,BC17175
Round 2,Simar Singh,BC18188,Osborn Song,BC16215
Round 2,Leo Feng,AB08299,Paul Cho,BC3748
Round 2,Anish Chandra Jojula,BC18940,Evan Chen,BC18670
Round 2,Saurabh Pandiar,BC17070,Kevin Damien Chau,BC6325
Round 3,Antonio Li,BC7414,Jacky Ruan,BC6934
Round 3,Jasper Kong,BC16320,Christopher Lee,BC18153
Round 3,Kevin Luo,BC8266,Aakar Chatha,BC17063
Round 3,Yu-Yuan Chang,U20020423,Shingchun Kevin Wu,BC14906
Round 3,Jackson Yang,BC10895,Peter Wong,BC19183
Round 3,Ethan Yen,BC14739,Mathias Lai,UE001
Round 3,Gurbaksh Saini,ON41508,Hossein Ahmadi,BC17717
Round 3,Jason Too,BC19055,Oliver Long,BC13904
Round 3,Chung Lai Yin,BC17060,William Ma,BC15972
Round 3,Lyem Fedoretz,BC13763,Luca Ferretti,ON35979
Round 3,Nicholas Poon,BC14114,Jalil Waiz,BC7562
Round 3,Joshua Liu,BC1815,William Hu,BC12205
Round 3,Wenjun Ouyang,BC8870,Peike Xu,BC15886
Round 3,Ryan Liu,BC10841,Eric Yu Cao,BC10049
Round 3,Simar Singh,BC18188,Leo Feng,AB08299
Round 3,Saurabh Pandiar,BC17070,Anish Chandra Jojula,BC18940
Round 4,Antonio Li,BC7414,Jasper Kong,BC16320
Round 4,Yu-Yuan Chang,U20020423,Kevin Luo,BC8266
Round 4,Jackson Yang,BC10895,Ethan Yen,BC14739
Round 4,Gurbaksh Saini,ON41508,Jason Too,BC19055
Round 4,Lyem Fedoretz,BC13763,Chung Lai Yin,BC17060
Round 4,Joshua Liu,BC1815,Nicholas Poon,BC14114
Round 4,Wenjun Ouyang,BC8870,Ryan Liu,BC10841
Round 4,Saurabh Pandiar,BC17070,Simar Singh,BC18188
Quarterfinals,Antonio Li,BC7414,Yu-Yuan Chang,U20020423
Quarterfinals,Gurbaksh Saini,ON41508,Jackson Yang,BC10895
Quarterfinals,Joshua Liu,BC1815,Lyem Fedoretz,BC13763
Quarterfinals,Saurabh Pandiar,BC17070,Wenjun Ouyang,BC8870
Semifinals,Antonio Li,BC7414,Gurbaksh Saini,ON41508
Semifinals,Saurabh Pandiar,BC17070,Joshua Liu,BC1815
Finals,Antonio Li,BC7414,Saurabh Pandiar,BC17070
