Session 1,Jithin Prakash,BC15890,Minglun Zhang,BC19511
Session 1,Brandon Myrbo,BC16273,James Geng,BC13109
Session 1,Brendon Kwan,BC9351,Tianyi Yang,BC19168
Session 1,Ratnesh Ippili,BC17071,Jaydon Polischuk,BC18583
Session 1,Howard Hu,BC16226,Renjie Xiong,BC18391
Session 2,Anish Jojula,BC18940,Andrew Meijer,BC6030
Session 2,Colt Love,BC12636,Minglun Zhang,BC19511
Session 2,Sahil Aggarwal,BC16091,Brandon Myrbo,BC16273
Session 2,Ryder Persson,AB21652,Brendon Kwan,BC9351
Session 2,Kwun Ho So,BC12748,Ratnesh Ippili,BC17071
Session 2,Howard Hu,BC16226,Frank Nguyen,BC17406
Session 2,Victor Chang,BC16223,John Ma,BC19513
Session 2,David Yang,BC9870,Jessy Lin,BC19507
Quarterfinals,Anish Jojula,BC18940,Colt Love,BC12636
Quarterfinals,Sahil Aggarwal,BC16091,Ryder Persson,AB21652
Quarterfinals,Howard Hu,BC16226,Kwun Ho So,BC12748
Quarterfinals,David Yang,BC9870,Victor Chang,BC16223
Semifinals,Anish Jojula,BC18940,Sahil Aggarwal,BC16091
Semifinals,David Yang,BC9870,Howard Hu,BC16226
Finals,Anish Jojula,BC18940,David Yang,BC9870
Bronze Playoff,Howard Hu,BC16226,Sahil Aggarwal,BC16091
