State Session 1,Austin Flannigan,ON10357,Simon Arsenault,QC06027
State Session 1,Uday Bharti,BC15951,Nathan Appave,AB20369
State Session 1,Lyem Fedoretz,BC13763,Dale Kinley,MB0044
State Session 1,Nathan Quach,AB22070,Ao Jun Chan,MB12428
State Session 1,Liam Zhang,ON30018,Christopher Wiebe,MB1371
State Session 1,Sam Yun Hang Sui,ON34859,John Li,AB04000
State Session 1,Eason Wong,AB09702,Ethan Yen,BC14739
State Session 1,Nathaniel McKenzie,QC10480,Dwayne Da Silva,BC18335
State Session 1,Anton Menzel,AB09146,Jalil Waiz,BC7562
State Session 1,Daniel Leung,ON13705,Charles-Alexandre Gagnon,QC11353
State Session 1,Derrick Ng,BC0747,Connor Louie,BC10576
State Session 1,Colin Jia,ON11660,Jason Chiu,AB22318
State Session 1,Victor Ho,MB09472,Hooman Bagheri,QC04040
State Session 1,Kevin Luo,BC8266,Jackson Lachance,AB10071
State Session 1,Shaurya Gullaiya,ON31794,Andy Le,BC17175
State Session 1,Philip Mak,AB03723,Derek Yu,QC11551
State Session 1,Ferdinand Simmons Zhang,ON33935,Shingchun Kevin Wu,BC14906
State Session 1,Guillaume Blais,QC10468,Smit Patel,AB20533
State Session 1,Kyi Nichols,MB0064,Van Long Nguyen,BC16173
Session 2,Victor Lai,ON13010,Johnathan Akin-Mulrooney,AB04770
Session 2,Austin Flannigan,ON10357,Nathan Lee,BC16181
Session 2,Benoit Bordeleau,QC10071,Uday Bharti,BC15951
Session 2,Lyem Fedoretz,BC13763,Nathan Quach,AB22070
Session 2,Gurbaksh Saini,ON41508,Liam Zhang,ON30018
Session 2,Frederick Boutet,QC06154,Sam Yun Hang Sui,ON34859
Session 2,Kiren Deraj,MB1631,Eason Wong,AB09702
Session 2,Arnav Lokhande,ON31383,Nathaniel McKenzie,QC10480
Session 2,Daniel Leung,ON13705,Anton Menzel,AB09146
Session 2,Andrew Zhuang,ON9302,Derrick Ng,BC0747
Session 2,Colin Jia,ON11660,Victor Ho,MB09472
Session 2,Zachary Desjardins,QC11074,Kevin Luo,BC8266
Session 2,Shaurya Gullaiya,ON31794,Philip Mak,AB03723
Session 2,Miklos Kanyasi,NS1999456,Ferdinand Simmons Zhang,ON33935
Session 2,Guillaume Blais,QC10468,Ryan Liu,BC10841
Session 2,Joshua Nguyen,ON13127,Kyi Nichols,MB0064
Session 3,Victor Lai,ON13010,Austin Flannigan,ON10357
Session 3,Lyem Fedoretz,BC13763,Benoit Bordeleau,QC10071
Session 3,Gurbaksh Saini,ON41508,Frederick Boutet,QC06154
Session 3,Kiren Deraj,MB1631,Arnav Lokhande,ON31383
Session 3,Andrew Zhuang,ON9302,Daniel Leung,ON13705
Session 3,Zachary Desjardins,QC11074,Colin Jia,ON11660
Session 3,Miklos Kanyasi,NS1999456,Shaurya Gullaiya,ON31794
Session 3,Joshua Nguyen,ON13127,Guillaume Blais,QC10468
Quarter Finals,Victor Lai,ON13010,Lyem Fedoretz,BC13763
Quarter Finals,Gurbaksh Saini,ON41508,Kiren Deraj,MB1631
Quarter Finals,Zachary Desjardins,QC11074,Andrew Zhuang,ON9302
Quarter Finals,Joshua Nguyen,ON13127,Miklos Kanyasi,NS1999456
Semi Finals,Victor Lai,ON13010,Gurbaksh Saini,ON41508
Semi Finals,Joshua Nguyen,ON13127,Zachary Desjardins,QC11074
Finals,Victor Lai,ON13010,Joshua Nguyen,ON13127
Play-off 3/4,Zachary Desjardins,QC11074,Gurbaksh Saini,ON41508
