Round of 64,Luca Ferretti,ON35979,Ev Haus,BC19123
Round of 32,Xiuyu Chen,BC19145,Jithin Prakash,BC15890
Round of 32,Jaden Thom,BC15336,Ayden Travis Lee,BC16117
Round of 32,Renjie Xiong,BC18391,Benson Wong,BC16112
Round of 32,Sahil Aggarwal,BC16091,Gilbert Limarta,BC19167
Round of 32,Chris Yu,BC19510,Peter Devries,BC19176
Round of 32,Oscar Jiang,BC15949,Raymond Wu,BC16114
Round of 32,Laurence Kao,BC3829,Truong Thien Pham,BC8986
Round of 32,Kevin Aissa,BC19253,Luca Ferretti,ON35979
Round of 32,Jasper Kong,BC16320,Arseny Shestakov,BC17183
Round of 32,Thomas He,BC10766,Andrew Meijer,BC6030
Round of 32,Ross Ma,BC17428,Gaurav Gajewar,BC18464
Round of 32,Yancong Li,BC19032,Brandon Myrbo,BC16273
Round of 32,Jalil Waiz,BC7562,Justin Phuong,BC11051
Round of 16,Xiuyu Chen,BC19145,Andy Le,BC17175
Round of 16,Jaden Thom,BC15336,Renjie Xiong,BC18391
Round of 16,Sahil Aggarwal,BC16091,Chris Yu,BC19510
Round of 16,Oscar Jiang,BC15949,Laurence Kao,BC3829
Round of 16,Kevin Aissa,BC19253,Jasper Kong,BC16320
Round of 16,Stephen Dee,BC0389,Ross Ma,BC17428
Round of 16,Jalil Waiz,BC7562,Yancong Li,BC19032
Quarterfinals,Jaden Thom,BC15336,Xiuyu Chen,BC19145
Quarterfinals,Sahil Aggarwal,BC16091,Oscar Jiang,BC15949
Quarterfinals,Kevin Aissa,BC19253,Thomas He,BC10766
Quarterfinals,Jalil Waiz,BC7562,Stephen Dee,BC0389
Semifinals,Jaden Thom,BC15336,Sahil Aggarwal,BC16091
Semifinals,Jalil Waiz,BC7562,Kevin Aissa,BC19253
Finals,Jaden Thom,BC15336,Jalil Waiz,BC7562
