Round of 32,Colin Comfort,BC4186,Kelly Liao,BC17646
Round of 32,Haile Kebede,BC12752,Cedric Tam,VC001
Round of 32,Fengjie Hu,BC16226,Yunyong Guo,BC12634
Round of 32,Reven Liu,BC9635,Kevin Zhang,AB21552
Round of 32,Gavin Guo,BC15341,Huaiyuan Zhang,BC17573
Round of 32,Van Long Nguyen,BC16173,Rakshith Arun,BC16225
Round of 32,Aaron Lin,BC12213,Fenglin Hu,BC16203
Round of 32,Jason Yang,BC12317,Xun Wang,BC17618
Round of 32,Sam Tian,BC17168,Aaron Kim,VC002
Round of 32,Colt Love,BC12636,David Zhai,BC9636
Round of 32,Colin Wang,BC12492,Victor Chang,BC16223
Round of 32,Andrew Meijer,BC6030,Kai Li Zhang,AB21438
Round of 16,Jaden Thom,BC15336,Colin Comfort,BC4186
Round of 16,Charlton Li,ON31174,Haile Kebede,BC12752
Round of 16,Reven Liu,BC9635,Fengjie Hu,BC16226
Round of 16,Van Long Nguyen,BC16173,Gavin Guo,BC15341
Round of 16,Kwun Ho So,BC12748,Aaron Lin,BC12213
Round of 16,Jason Yang,BC12317,Sam Tian,BC17168
Round of 16,Colin Wang,BC12492,Colt Love,BC12636
Round of 16,Roger Quach,BC17133,Andrew Meijer,BC6030
Quarterfinals,Jaden Thom,BC15336,Charlton Li,ON31174
Quarterfinals,Reven Liu,BC9635,Van Long Nguyen,BC16173
Quarterfinals,Kwun Ho So,BC12748,Jason Yang,BC12317
Quarterfinals,Roger Quach,BC17133,Colin Wang,BC12492
Semifinals,Jaden Thom,BC15336,Reven Liu,BC9635
Semifinals,Roger Quach,BC17133,Kwun Ho So,BC12748
Finals,Roger Quach,BC17133,Jaden Thom,BC15336
