Group D Round 1,Peike Xu,BC15886,Jesse Guo,BC19644
Group D Round 1,Victor Ho,MB09472,Barry Xie,BC17273
Group D Round 2,Victor Ho,MB09472,Jesse Guo,BC19644
Group D Round 2,Peike Xu,BC15886,Barry Xie,BC17273
Group D Round 3,Peike Xu,BC15886,Victor Ho,MB09472
Group D Round 3,Barry Xie,BC17273,Jesse Guo,BC19644
Group C Round 1,Josemaria (JM) Teleg,BC16122,Gurnishan Singh Sidhu,BC19528
Group C Round 1,Raunak Sandhu,AB20272,Simon Wu,BC17274
Group C Round 2,Raunak Sandhu,AB20272,Gurnishan Singh Sidhu,BC19528
Group C Round 2,Simon Wu,BC17274,Josemaria (JM) Teleg,BC16122
Group C Round 3,Raunak Sandhu,AB20272,Josemaria (JM) Teleg,BC16122
Group C Round 3,Simon Wu,BC17274,Gurnishan Singh Sidhu,BC19528
Group B Round 1,Loki Fung,BC17229,Jithin Prakash,BC15890
Group B Round 1,Ratnesh Rao Ippili,BC17071,Isaac Fu,BC18369
Group B Round 2,Ratnesh Rao Ippili,BC17071,Jithin Prakash,BC15890
Group B Round 2,Loki Fung,BC17229,Isaac Fu,BC18369
Group B Round 3,Ratnesh Rao Ippili,BC17071,Loki Fung,BC17229
Group B Round 3,Jithin Prakash,BC15890,Isaac Fu,BC18369
Group A Round 1,Rickey Ruixi Zhang,BC14918,Ev Haus,BC19123
Group A Round 2,Saurabh Pandiar,BC17070,Rickey Ruixi Zhang,BC14918
Group A Round 3,Saurabh Pandiar,BC17070,Ev Haus,BC19123
Quarterfinals,Saurabh Pandiar,BC17070,Simon Wu,BC17274
Quarterfinals,Peike Xu,BC15886,Loki Fung,BC17229
Quarterfinals,Raunak Sandhu,AB20272,Rickey Ruixi Zhang,BC14918
Quarterfinals,Victor Ho,MB09472,Ratnesh Rao Ippili,BC17071
Semifinals,Saurabh Pandiar,BC17070,Peike Xu,BC15886
Semifinals,Victor Ho,MB09472,Raunak Sandhu,AB20272
Finals,Saurabh Pandiar,BC17070,Victor Ho,MB09472
