825,422
2022 Campbell River,2022-03-11,Manmeet Singh,BC16926
2022 Victoria Closed,2022-05-06,Joshua R Yan,BC9134
2022 Provincial Championships,2022-05-27,Jackson Yang,BC10895
2022 New Era Open,2022-08-05,Lyem Fedoretz,BC13763
2022 Nanaimo Open,2022-10-08,Nik Cruz,BC3960
2022 C1 Thanksgiving Tournament,2022-10-08,Jackson Yang,BC10895
2022 Island Open,2022-11-19,Saurabh Pandiar,BC17070
2023 New Year's Tournament,2023-01-01,Lyem Fedoretz,BC13763
2022-2023 BC Senior Elite,2023-01-06,Joshua Nguyen,ON13127
2023 Campbell River,2023-01-13,Saurabh Pandiar,BC17070
2023 Kelowna Adult Open,2023-01-15,Matt Downton,BC1418
2023 Wing's-GHS Tournament,2023-02-25,Peike Xu,BC15886
2023 Jack Underhill,2023-03-31,Lyem Fedoretz,BC13763
2023 Easter Open,2023-04-07,Antonio Li,BC7414
2023 Provincials,2023-04-22,Joshua Liu,BC1815
2023 Victoria Closed,2023-06-02,Jaden Thom,BC15336
2023 White Rock Tournament,2023-06-23,Ryan Liu,BC10841
2023 Nanaimo Open,2023-09-22,Roger Quach,BC17133
2023 POCOmon GO Open,2023-09-23,Gurbaksh Saini,ON41508
2023 C1 Thanksgiving Tournament,2023-10-07,Saurabh Pandiar,BC17070
2023-2024 BC Senior Elite,2023-11-17,Joshua Nguyen,ON13127
2023 Island Open,2023-11-24,Connor Louie,BC10576
2023 Kelowna Open,2023-12-02,Harrison Hsu,BC4245
